Round:1 | Loss:1.1086 | Acc:0.8143 | Time:2026-05-23 12:41:55
Round:2 | Loss:1.0856 | Acc:0.8173 | Time:2026-05-23 12:41:55
Round:3 | Loss:1.0640 | Acc:0.8187 | Time:2026-05-23 12:41:55
Round:4 | Loss:1.0435 | Acc:0.8203 | Time:2026-05-23 12:41:55
Round:5 | Loss:1.0243 | Acc:0.8213 | Time:2026-05-23 12:41:55
Round:6 | Loss:1.0060 | Acc:0.8227 | Time:2026-05-23 12:41:56
Round:7 | Loss:0.9888 | Acc:0.8243 | Time:2026-05-23 12:41:56
Round:8 | Loss:0.9724 | Acc:0.8267 | Time:2026-05-23 12:41:56
Round:9 | Loss:0.9568 | Acc:0.8280 | Time:2026-05-23 12:41:56
Round:10 | Loss:0.9421 | Acc:0.8307 | Time:2026-05-23 12:41:56
Round:11 | Loss:0.9280 | Acc:0.8327 | Time:2026-05-23 12:41:57
Round:12 | Loss:0.9146 | Acc:0.8350 | Time:2026-05-23 12:41:57
Round:13 | Loss:0.9018 | Acc:0.8360 | Time:2026-05-23 12:41:57
Round:14 | Loss:0.8895 | Acc:0.8367 | Time:2026-05-23 12:41:57
Round:15 | Loss:0.8778 | Acc:0.8377 | Time:2026-05-23 12:41:58
Round:16 | Loss:0.8666 | Acc:0.8383 | Time:2026-05-23 12:41:58
Round:17 | Loss:0.8559 | Acc:0.8400 | Time:2026-05-23 12:41:58
Round:18 | Loss:0.8456 | Acc:0.8410 | Time:2026-05-23 12:41:58
Round:19 | Loss:0.8357 | Acc:0.8427 | Time:2026-05-23 12:41:59
Round:20 | Loss:0.8262 | Acc:0.8443 | Time:2026-05-23 12:41:59
