Round:1 | Loss:1.5704 | Acc:0.4523 | Time:2026-05-23 12:45:56
Round:2 | Loss:1.3066 | Acc:0.8440 | Time:2026-05-23 12:45:56
Round:3 | Loss:1.2671 | Acc:0.8403 | Time:2026-05-23 12:45:56
Round:4 | Loss:1.2312 | Acc:0.8373 | Time:2026-05-23 12:45:56
Round:5 | Loss:1.1982 | Acc:0.8360 | Time:2026-05-23 12:45:56
Round:6 | Loss:1.1676 | Acc:0.8357 | Time:2026-05-23 12:45:57
Round:7 | Loss:1.1392 | Acc:0.8350 | Time:2026-05-23 12:45:57
Round:8 | Loss:1.1127 | Acc:0.8363 | Time:2026-05-23 12:45:57
Round:9 | Loss:1.0880 | Acc:0.8373 | Time:2026-05-23 12:45:57
Round:10 | Loss:1.0648 | Acc:0.8380 | Time:2026-05-23 12:45:58
Round:11 | Loss:1.0430 | Acc:0.8387 | Time:2026-05-23 12:45:58
Round:12 | Loss:1.0226 | Acc:0.8397 | Time:2026-05-23 12:45:58
Round:13 | Loss:1.0033 | Acc:0.8410 | Time:2026-05-23 12:45:58
Round:14 | Loss:0.9851 | Acc:0.8413 | Time:2026-05-23 12:45:58
Round:15 | Loss:0.9680 | Acc:0.8413 | Time:2026-05-23 12:45:59
Round:16 | Loss:0.9517 | Acc:0.8430 | Time:2026-05-23 12:45:59
Round:17 | Loss:0.9363 | Acc:0.8427 | Time:2026-05-23 12:45:59
Round:18 | Loss:0.9217 | Acc:0.8433 | Time:2026-05-23 12:45:59
Round:19 | Loss:0.9079 | Acc:0.8447 | Time:2026-05-23 12:46:00
Round:20 | Loss:0.8947 | Acc:0.8450 | Time:2026-05-23 12:46:00
